                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7
                 Re(freq)                  Im(freq)                freq_units                         l                      n_pg                 Re(omega)                 Im(omega)
  0.5868842084554447E+001   0.0000000000000000E+000 CYC_PER_DAY                                       1                        -5   0.3101798217990401E+001   0.0000000000000000E+000
                        1                         2                         3                         4                         5
                        x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.4092234981426703E-001   0.1255963924744498E+001   0.0000000000000000E+000  -0.3008247649042335E+000   0.0000000000000000E+000
  0.4096277463536184E-001   0.1270530620419718E+001   0.0000000000000000E+000  -0.2979171136046306E+000   0.0000000000000000E+000
  0.4100319945645665E-001   0.1285026065850873E+001   0.0000000000000000E+000  -0.2949866508761921E+000   0.0000000000000000E+000
  0.4104387750787741E-001   0.1299561055013788E+001   0.0000000000000000E+000  -0.2920149837569446E+000   0.0000000000000000E+000
  0.4108455555929817E-001   0.1314030386104756E+001   0.0000000000000000E+000  -0.2890205649207443E+000   0.0000000000000000E+000
  0.4112523361071893E-001   0.1328410028583649E+001   0.0000000000000000E+000  -0.2860036035076290E+000   0.0000000000000000E+000
  0.4116591166213968E-001   0.1342677322494147E+001   0.0000000000000000E+000  -0.2829643541930558E+000   0.0000000000000000E+000
  0.4120658971356043E-001   0.1356810936947566E+001   0.0000000000000000E+000  -0.2799031142934284E+000   0.0000000000000000E+000
  0.4124726776498119E-001   0.1370790828022563E+001   0.0000000000000000E+000  -0.2768202209701872E+000   0.0000000000000000E+000
  0.4128794581640195E-001   0.1384598196026436E+001   0.0000000000000000E+000  -0.2737160485329536E+000   0.0000000000000000E+000
  0.4132862386782271E-001   0.1398215442077436E+001   0.0000000000000000E+000  -0.2705910058423164E+000   0.0000000000000000E+000
  0.4136930355686982E-001   0.1411621170627628E+001   0.0000000000000000E+000  -0.2674454094583363E+000   0.0000000000000000E+000
  0.4140998324591692E-001   0.1424776489467551E+001   0.0000000000000000E+000  -0.2642798873124126E+000   0.0000000000000000E+000
  0.4145066293496403E-001   0.1437651492728948E+001   0.0000000000000000E+000  -0.2610950096348005E+000   0.0000000000000000E+000
  0.4149134262401113E-001   0.1450230510579715E+001   0.0000000000000000E+000  -0.2578913884230346E+000   0.0000000000000000E+000
  0.4153202231305824E-001   0.1462510842400133E+001   0.0000000000000000E+000  -0.2546696507408949E+000   0.0000000000000000E+000
  0.4157270200210535E-001   0.1474501477781879E+001   0.0000000000000000E+000  -0.2514304146540520E+000   0.0000000000000000E+000
  0.4161338169115245E-001   0.1486221806845146E+001   0.0000000000000000E+000  -0.2481742678065796E+000   0.0000000000000000E+000
  0.4165406138019956E-001   0.1497700321616940E+001   0.0000000000000000E+000  -0.2449017486393363E+000   0.0000000000000000E+000
  0.4169503595104567E-001   0.1509062818985359E+001   0.0000000000000000E+000  -0.2415894316509172E+000   0.0000000000000000E+000
  0.4173601052189178E-001   0.1520294234172655E+001   0.0000000000000000E+000  -0.2382613396905383E+000   0.0000000000000000E+000
  0.4177698509273790E-001   0.1531435271728566E+001   0.0000000000000000E+000  -0.2349177191462917E+000   0.0000000000000000E+000
  0.4181795966358401E-001   0.1542490198823240E+001   0.0000000000000000E+000  -0.2315587726517006E+000   0.0000000000000000E+000
  0.4185893423443012E-001   0.1553430938772385E+001   0.0000000000000000E+000  -0.2281847263009241E+000   0.0000000000000000E+000
  0.4189990880527623E-001   0.1564201181811941E+001   0.0000000000000000E+000  -0.2247958884854917E+000   0.0000000000000000E+000
  0.4194088337612235E-001   0.1574720513346621E+001   0.0000000000000000E+000  -0.2213927003762680E+000   0.0000000000000000E+000
  0.4198185794696847E-001   0.1584888560956289E+001   0.0000000000000000E+000  -0.2179757780723865E+000   0.0000000000000000E+000
  0.4202304034632552E-001   0.1594655348100312E+001   0.0000000000000000E+000  -0.2145285094033327E+000   0.0000000000000000E+000
  0.4206422274568257E-001   0.1603935093698209E+001   0.0000000000000000E+000  -0.2110691463988365E+000   0.0000000000000000E+000
  0.4210540514503962E-001   0.1612716729417270E+001   0.0000000000000000E+000  -0.2075986760206369E+000   0.0000000000000000E+000
  0.4214658754439667E-001   0.1620994068673986E+001   0.0000000000000000E+000  -0.2041180987821135E+000   0.0000000000000000E+000
  0.4218776994375373E-001   0.1628765236241088E+001   0.0000000000000000E+000  -0.2006284196768613E+000   0.0000000000000000E+000
  0.4222895234311078E-001   0.1636032094890433E+001   0.0000000000000000E+000  -0.1971306402685083E+000   0.0000000000000000E+000
  0.4227013474246782E-001   0.1642799670073621E+001   0.0000000000000000E+000  -0.1936257519387845E+000   0.0000000000000000E+000
